epoch,train_loss,train_acc,val_loss,val_acc
1,1.291724342809004,0.605516318369453,1.2411191111261195,0.6715909090909091
2,0.4579525748596472,0.8546536377708979,0.3751800222830339,0.8798295454545455
3,0.2777063178957677,0.9082301341589267,0.6345640550960194,0.811221590909091
4,0.1805068618380556,0.9401541537667699,0.4147487797520377,0.876278409090909
5,0.1542713152317732,0.9490196078431372,0.5933720804073593,0.8421875
6,0.1248512402532951,0.9600264447884417,0.16224786051633683,0.9480113636363636
7,0.1001817024230738,0.9667053663570692,0.3088368588550524,0.9088068181818182
8,0.10795288955537127,0.9642156862745098,0.32312847049060195,0.9166193181818182
9,0.08418460274115205,0.9724232456140351,0.4926138844510371,0.8964488636363637
10,0.08767768379903454,0.9712622549019608,0.20128189518370412,0.9356534090909091
11,0.07812992159925475,0.9746936274509804,0.5032156166620553,0.8700284090909091
